#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,ckpt,offload ratio,Peak Memory (GiB),Offload Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,4194304,Mixtral-8x7B,4,1,1,8,32,8,1,128,1,1,partial+fc1,0.65,40.36,17.00,1.31,2.05,9.72,7.81,0.66,2.94,15.88,5.71%
256,2097152,Mixtral-8x7B,4,1,1,16,8,8,2,32,4,1,partial+fc1,0.00,44.10,0.00,5.24,2.05,19.97,7.81,0.66,0.00,8.38,2.66%
224,2107392,Mixtral-8x22B,4,1,1,8,28,8,1,112,2,1,partial+fc1,1.0,42.28,25.57,4.52,7.04,6.86,4.49,0.43,2.48,16.47,2.93%
256,2097152,LLaMA-70B-GQA,4,1,4,4,16,1,1,64,5,1,partial+fc1,0.85,43.35,39.06,6.07,3.03,7.42,3.91,0.33,2.72,19.88,1.16%
256,2097152,LLaMA-70B-GQA,4,1,4,4,16,1,1,64,5,1,partial+fc1,0.75,47.95,34.46,6.07,3.03,12.02,3.91,0.33,2.72,19.88,1.16%
256,1048576,LLaMA-150B-GQA,4,1,4,2,32,1,1,64,3,1,partial+fc1,0.90,40.78,43.95,6.50,6.50,5.66,1.95,0.38,1.97,17.81,3.88%
256,3145728,Mixtral-8x7B,4,1,1,8,16,8,2,64,2,1,partial+fc1,0.80,44.68,25.99,2.62,2.05,7.34,11.72,0.98,3.66,16.31,5.54%
256,4194304,Mixtral-8x7B,4,1,1,16,16,8,1,64,1,2,partial+fc1,1.00,32.89,25.31,2.62,2.05,1.12,7.81,0.66,2.88,15.75,5.54%
256,4194304,Mixtral-8x7B,4,1,1,16,16,8,1,64,1,2,partial+fc1,0.95,32.89,25.31,2.62,2.05,1.12,7.81,0.66,2.88,15.75,5.54%
