#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
#256,65536,LLaMA-150B-GQA,64,1,8,4,8,1,1,1,12,1,partial+fc1,43.17
#256,131072,LLaMA-150B-GQA,32,1,8,2,8,1,2,1,12,1,full,48.47
#256,262144,LLaMA-150B-GQA,16,1,8,4,8,1,1,1,12,1,full,48.47
#To be tested 256,524288,LLaMA-150B-GQA,8,1,8,8,4,1,1,1,24,1,full,54.20
#256,65536,LLaMA-70B-GQA,64,1,8,4,8,1,1,1,10,1,no,51.23
#256,131072,LLaMA-70B-GQA,32,1,8,4,4,1,2,1,20,1,partial+fc1,40.94
#256,262144,LLaMA-70B-GQA,16,1,8,2,4,1,4,1,20,1,full,49.73
#256,524288,LLaMA-70B-GQA,8,1,8,4,4,1,2,1,20,1,full,49.74
#256,65536,Mixtral-8x22B,64,1,1,16,8,8,2,1,7,1,partial+fc1,47.28
#256,131072,Mixtral-8x22B,32,1,1,32,8,8,1,1,7,1,partial+fc1,49.31
#256,262144,Mixtral-8x22B,16,1,1,16,8,8,2,1,7,1,full,47.61
256,524288,Mixtral-8x22B,8,1,1,32,8,8,1,1,1,7,full,40.18
#256,65536,Mixtral-8x7B,64,1,1,16,4,8,4,1,8,1,no,48.19
#256,131072,Mixtral-8x7B,32,1,1,32,4,8,2,1,8,1,no,49.70
#256,262144,Mixtral-8x7B,16,1,1,16,4,8,4,1,8,1,partial+fc1,50.64
#256,524288,Mixtral-8x7B,8,1,1,32,4,8,2,1,8,1,partial+fc1,53.32
