#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,131072,LLaMA-150B-GQA,32,1,8,1,16,1,2,1,6,1,full,62.01,7.53,7.53,41.62,0.00,5.31,0.00,0.00,13.51%
256,65536,Mixtral-8x7B,64,1,1,4,4,2,16,1,8,1,full,46.24,36.31,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,65536,Mixtral-8x7B,64,1,1,4,4,4,16,1,8,1,full,30.49,20.56,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,65536,Mixtral-8x7B,64,1,1,4,8,1,8,1,4,1,full,45.90,35.37,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,65536,Mixtral-8x7B,64,1,1,4,8,2,8,1,4,1,full,30.15,19.62,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,65536,Mixtral-8x7B,64,1,1,4,8,4,8,1,4,1,full,22.27,11.75,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,65536,Mixtral-8x7B,64,1,1,4,16,1,4,1,2,1,full,30.86,19.15,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,65536,Mixtral-8x7B,64,1,1,4,16,2,4,1,2,1,full,22.99,11.28,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,65536,Mixtral-8x7B,64,1,1,4,16,4,4,1,2,1,full,19.05,7.34,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,65536,Mixtral-8x7B,64,1,1,8,4,2,8,1,8,1,full,42.34,36.31,2.12,2.19,0.00,1.72,0.00,0.00,4.48%
256,65536,Mixtral-8x7B,64,1,1,8,4,4,8,1,8,1,full,26.59,20.56,2.12,2.19,0.00,1.72,0.00,0.00,4.48%
256,65536,Mixtral-8x7B,64,1,1,8,4,8,8,1,8,1,full,18.71,12.69,2.12,2.19,0.00,1.72,0.00,0.00,4.48%
256,65536,Mixtral-8x7B,64,1,1,8,8,1,4,1,4,1,full,41.74,35.37,2.21,2.44,0.00,1.72,0.00,0.00,9.86%
256,65536,Mixtral-8x7B,64,1,1,8,8,2,4,1,4,1,full,25.99,19.62,2.21,2.44,0.00,1.72,0.00,0.00,9.86%
256,65536,Mixtral-8x7B,64,1,1,8,8,4,4,1,4,1,full,18.12,11.75,2.21,2.44,0.00,1.72,0.00,0.00,9.86%
256,65536,Mixtral-8x7B,64,1,1,8,8,8,4,1,4,1,full,14.18,7.81,2.21,2.44,0.00,1.72,0.00,0.00,9.86%
256,65536,Mixtral-8x7B,64,1,1,8,16,1,2,1,2,1,full,26.21,19.15,2.39,2.94,0.00,1.72,0.00,0.00,18.99%
256,65536,Mixtral-8x7B,64,1,1,8,16,2,2,1,2,1,full,18.33,11.28,2.39,2.94,0.00,1.72,0.00,0.00,18.99%
256,65536,Mixtral-8x7B,64,1,1,8,16,4,2,1,2,1,full,14.39,7.34,2.39,2.94,0.00,1.72,0.00,0.00,18.99%
256,65536,Mixtral-8x7B,64,1,1,8,16,8,2,1,2,1,full,12.42,5.37,2.39,2.94,0.00,1.72,0.00,0.00,18.99%
256,65536,Mixtral-8x7B,64,1,2,2,4,1,16,1,8,1,full,43.84,33.91,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,65536,Mixtral-8x7B,64,1,2,2,8,1,8,1,4,1,full,28.21,17.69,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,65536,Mixtral-8x7B,64,1,2,2,16,1,4,1,2,1,full,21.28,9.58,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,65536,Mixtral-8x7B,64,1,2,4,4,1,8,1,8,1,full,39.93,33.91,2.12,2.19,0.00,1.72,0.00,0.00,4.48%
256,65536,Mixtral-8x7B,64,1,2,4,8,1,4,1,4,1,full,24.05,17.69,2.21,2.44,0.00,1.72,0.00,0.00,9.86%
256,65536,Mixtral-8x7B,64,1,2,4,16,1,2,1,2,1,full,16.63,9.58,2.39,2.94,0.00,1.72,0.00,0.00,18.99%
256,65536,Mixtral-8x7B,64,1,4,1,4,1,16,1,8,1,full,26.88,16.95,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,65536,Mixtral-8x7B,64,1,4,1,8,1,8,1,4,1,full,19.37,8.84,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,65536,Mixtral-8x7B,64,1,4,1,16,1,4,1,2,1,full,16.50,4.79,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,65536,Mixtral-8x7B,64,1,4,2,4,1,8,1,8,1,full,22.98,16.95,2.12,2.19,0.00,1.72,0.00,0.00,4.48%
256,65536,Mixtral-8x7B,64,1,4,2,8,1,4,1,4,1,full,15.21,8.84,2.21,2.44,0.00,1.72,0.00,0.00,9.86%
256,65536,Mixtral-8x7B,64,1,4,2,16,1,2,1,2,1,full,11.84,4.79,2.39,2.94,0.00,1.72,0.00,0.00,18.99%
256,65536,Mixtral-8x7B,64,1,8,1,4,1,8,1,8,1,full,14.50,8.48,2.12,2.19,0.00,1.72,0.00,0.00,4.48%
256,65536,Mixtral-8x7B,64,1,8,1,8,1,4,1,4,1,full,10.79,4.42,2.21,2.44,0.00,1.72,0.00,0.00,9.86%
256,65536,Mixtral-8x7B,64,1,8,1,16,1,2,1,2,1,full,9.44,2.39,2.39,2.94,0.00,1.72,0.00,0.00,18.99%
256,131072,Mixtral-8x7B,32,1,1,8,4,2,8,1,8,1,full,46.24,36.31,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,131072,Mixtral-8x7B,32,1,1,8,4,4,8,1,8,1,full,30.49,20.56,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,131072,Mixtral-8x7B,32,1,1,8,4,8,8,1,8,1,full,22.62,12.69,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,131072,Mixtral-8x7B,32,1,1,8,8,1,4,1,4,1,full,45.90,35.37,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,131072,Mixtral-8x7B,32,1,1,8,8,2,4,1,4,1,full,30.15,19.62,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,131072,Mixtral-8x7B,32,1,1,8,8,4,4,1,4,1,full,22.27,11.75,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,131072,Mixtral-8x7B,32,1,1,8,8,8,4,1,4,1,full,18.33,7.81,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,131072,Mixtral-8x7B,32,1,1,8,16,1,2,1,2,1,full,30.86,19.15,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,131072,Mixtral-8x7B,32,1,1,8,16,2,2,1,2,1,full,22.99,11.28,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,131072,Mixtral-8x7B,32,1,1,8,16,4,2,1,2,1,full,19.05,7.34,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,131072,Mixtral-8x7B,32,1,1,8,16,8,2,1,2,1,full,17.08,5.37,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,131072,Mixtral-8x7B,32,1,2,4,4,1,8,1,8,1,full,43.84,33.91,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,131072,Mixtral-8x7B,32,1,2,4,8,1,4,1,4,1,full,28.21,17.69,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,131072,Mixtral-8x7B,32,1,2,4,16,1,2,1,2,1,full,21.28,9.58,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,131072,Mixtral-8x7B,32,1,4,2,4,1,8,1,8,1,full,26.88,16.95,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,131072,Mixtral-8x7B,32,1,4,2,8,1,4,1,4,1,full,19.37,8.84,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,131072,Mixtral-8x7B,32,1,4,2,16,1,2,1,2,1,full,16.50,4.79,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,131072,Mixtral-8x7B,32,1,8,1,4,1,8,1,8,1,full,18.41,8.48,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,131072,Mixtral-8x7B,32,1,8,1,8,1,4,1,4,1,full,14.95,4.42,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,131072,Mixtral-8x7B,32,1,8,1,16,1,2,1,2,1,full,14.10,2.39,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
