#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
#512,65536,LLaMA-150B-GQA,64,1,8,4,4,1,4,1,24,1,partial+fc1,49.90
#512,65536,LLaMA-150B-GQA,64,1,8,4,8,1,2,1,12,1,partial+fc1,37.95
#512,131072,LLaMA-150B-GQA,32,1,8,4,4,1,4,1,24,1,full,40.52
#512,131072,LLaMA-150B-GQA,32,1,8,2,4,1,8,1,24,1,full,50.84
#512,131072,LLaMA-150B-GQA,32,1,8,2,8,1,4,1,12,1,full,38.87
#512,262144,LLaMA-150B-GQA,16,1,8,4,4,1,4,1,24,1,full,50.84
#512,262144,LLaMA-150B-GQA,16,1,8,4,8,1,2,1,12,1,full,48.47
#512,524288,LLaMA-150B-GQA,8,1,8,8,8,1,1,1,12,1,full,37.55
#512,65536,LLaMA-70B-GQA,64,1,8,4,4,1,4,1,20,1,no,52.53
#512,65536,LLaMA-70B-GQA,64,1,8,4,8,1,2,1,10,1,no,48.49
#512,65536,LLaMA-70B-GQA,64,1,8,2,4,1,8,1,20,1,partial+fc1,36.97
#512,65536,LLaMA-70B-GQA,64,1,4,4,4,1,8,1,20,1,partial+fc1,49.66
#512,131072,LLaMA-70B-GQA,32,1,8,4,4,1,4,1,20,1,partial+fc1,36.97
#512,262144,LLaMA-70B-GQA,16,1,4,8,4,1,4,1,20,1,full,48.32
#?512,524288,LLaMA-70B-GQA,8,1,8,2,16,1,2,1,1,5,full,52.46*
#?512,524288,LLaMA-70B-GQA,8,1,8,4,4,1,4,1,1,20,full,37.71*
#512,524288,LLaMA-70B-GQA,8,1,4,16,4,1,2,1,1,20,full,38.68
#512,524288,LLaMA-70B-GQA,8,1,4,16,4,1,2,1,20,1,full,39.05
#512,65536,Mixtral-8x22B,64,1,1,8,8,8,8,1,7,1,partial+fc1,49.95
#512,65536,Mixtral-8x22B,64,1,1,16,8,8,4,1,7,1,partial+fc1,53.52
#512,131072,Mixtral-8x22B,32,1,1,8,8,8,8,1,1,7,full,55.37
#512,131072,Mixtral-8x22B,32,1,1,16,8,8,4,1,7,1,partial+fc1,49.95
#512,131072,Mixtral-8x22B,32,1,1,32,8,8,2,1,7,1,partial+fc1,49.31
#?512,262144,Mixtral-8x22B,16,1,1,16,8,8,4,1,1,7,full,55.83
#512,262144,Mixtral-8x22B,16,1,8,8,4,1,2,1,14,1,partial+fc1,40.90
#?512,524288,Mixtral-8x22B,8,1,1,32,8,8,2,1,1,7,full,36.98
#OOM 512,524288,Mixtral-8x22B,8,1,8,8,8,1,1,1,7,1,partial+fc1,43.08
#512,524288,Mixtral-8x22B,8,1,8,8,4,1,2,1,14,1,full,35.51
#?512,524288,Mixtral-8x22B,8,1,1,16,8,8,4,1,1,7,full,51.10
#512,65536,Mixtral-8x7B,64,1,1,16,4,8,8,1,8,1,no,41.63
#512,65536,Mixtral-8x7B,64,1,1,8,4,8,16,1,8,1,partial+fc1,24.90
#512,131072,Mixtral-8x7B,32,1,1,32,4,8,4,1,8,1,no,41.63
#512,131072,Mixtral-8x7B,32,1,1,16,4,8,8,1,8,1,partial+fc1,24.90
#?512,262144,Mixtral-8x7B,16,1,1,8,4,8,16,1,1,8,full,48.75
#512,262144,Mixtral-8x7B,16,1,1,32,4,8,4,1,8,1,partial+fc1,24.90
#?512,524288,Mixtral-8x7B,8,1,1,16,8,8,4,1,1,4,full,43.09
#512,524288,Mixtral-8x7B,8,1,4,16,4,1,2,1,8,1,partial+fc1,29.17
512,524288,Mixtral-8x7B,8,1,1,64,4,8,2,1,8,1,partial+fc1,24.90
512,524288,Mixtral-8x22B,8,1,1,64,4,8,2,1,14,1,full,45.39
