#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,524288,Mixtral-8x7B,8,1,4,2,32,1,1,64,1,1,no,34.12,2.05,2.05,27.07,0.98,0.00,0.00,1.97,5.71%
256,524288,Mixtral-8x7B,8,1,4,2,16,1,2,16,2,1,no,63.27,4.10,2.05,53.28,1.96,0.00,0.00,1.88,10.49%
256,524288,Mixtral-8x7B,8,1,4,2,16,1,2,32,2,1,no,50.94,4.10,2.05,40.39,1.96,0.00,0.00,2.44,5.54%
256,524288,Mixtral-8x7B,8,1,8,1,32,1,1,32,1,1,no,46.38,1.03,2.05,40.39,0.98,0.00,0.00,1.94,10.80%
256,524288,Mixtral-8x7B,8,1,8,1,32,1,1,64,1,1,no,33.09,1.03,2.05,27.07,0.98,0.00,0.00,1.97,5.71%
256,524288,Mixtral-8x7B,8,1,8,1,16,1,2,16,2,1,no,61.21,2.05,2.05,53.28,1.96,0.00,0.00,1.88,10.49%
256,524288,Mixtral-8x7B,8,1,8,1,16,1,2,32,2,1,no,48.89,2.05,2.05,40.39,1.96,0.00,0.00,2.44,5.54%
256,65536,Mixtral-8x22B,64,1,1,8,8,8,4,8,7,1,no,41.10,15.81,6.16,18.32,0.49,0.00,0.00,0.33,0.78%
256,65536,Mixtral-8x22B,64,1,4,2,8,1,4,8,7,1,no,49.92,24.62,6.16,18.32,0.49,0.00,0.00,0.33,0.78%
256,65536,Mixtral-8x22B,64,1,8,1,4,1,8,4,14,1,no,64.49,24.62,6.16,32.45,0.98,0.00,0.00,0.28,0.67%
256,65536,Mixtral-8x22B,64,1,8,1,8,1,4,8,7,1,no,37.61,12.31,6.16,18.32,0.49,0.00,0.00,0.33,0.78%
256,131072,Mixtral-8x22B,32,1,1,8,8,8,4,8,7,1,no,60.24,15.81,6.16,36.64,0.98,0.00,0.00,0.66,1.54%
256,131072,Mixtral-8x22B,32,1,4,2,8,1,4,8,7,1,no,69.06,24.62,6.16,36.64,0.98,0.00,0.00,0.66,1.54%
256,131072,Mixtral-8x22B,32,1,8,1,8,1,4,8,7,1,no,56.74,12.31,6.16,36.64,0.98,0.00,0.00,0.66,1.54%
